"site","year","species","abund"
"1984_2_control_summer",1984,"pect papp",7
"1984_2_control_summer",1984,"tide lanu",9
"1984_3_exclosure_summer",1984,"aris adsc",4
"1984_3_exclosure_summer",1984,"bail mult",9
"1984_3_exclosure_summer",1984,"boer torr",3
"1984_3_exclosure_summer",1984,"bout aris",105
"1984_3_exclosure_summer",1984,"erio aber",9
"1984_3_exclosure_summer",1984,"euph fend",2
"1984_3_exclosure_summer",1984,"moll cerv",22
"1984_3_exclosure_summer",1984,"pect papp",6
"1984_3_exclosure_summer",1984,"tide lanu",7
"1984_4_control_summer",1984,"bail mult",19
"1984_4_control_summer",1984,"boer torr",2
"1984_4_control_summer",1984,"bout aris",56
"1984_4_control_summer",1984,"erio aber",12
"1984_4_control_summer",1984,"euph fend",3
"1984_4_control_summer",1984,"pect papp",3
"1984_4_control_summer",1984,"tide lanu",9
"1984_6_control_summer",1984,"bail mult",21
"1984_6_control_summer",1984,"bout aris",22
"1984_6_control_summer",1984,"erio aber",4
"1984_6_control_summer",1984,"euph fend",4
"1984_6_control_summer",1984,"moll cerv",32
"1984_6_control_summer",1984,"pani ariz",6
"1984_6_control_summer",1984,"pect papp",14
"1984_6_control_summer",1984,"tide lanu",15
"1984_7_removal_summer",1984,"aris adsc",1
"1984_7_removal_summer",1984,"bail mult",11
"1984_7_removal_summer",1984,"bout aris",1
"1984_7_removal_summer",1984,"euph fend",1
"1984_7_removal_summer",1984,"moll cerv",1
"1984_7_removal_summer",1984,"moll vert",2
"1984_7_removal_summer",1984,"pani ariz",2
"1984_8_control_summer",1984,"bail mult",1
"1984_8_control_summer",1984,"boer torr",4
"1984_8_control_summer",1984,"bout aris",26
"1984_8_control_summer",1984,"erio aber",3
"1984_8_control_summer",1984,"euph fend",16
"1984_8_control_summer",1984,"moll cerv",39
"1984_8_control_summer",1984,"pect papp",6
"1984_8_control_summer",1984,"tide lanu",5
"1984_9_control_summer",1984,"bail mult",8
"1984_9_control_summer",1984,"boer torr",1
"1984_9_control_summer",1984,"bout aris",48
"1984_9_control_summer",1984,"erio aber",2
"1984_9_control_summer",1984,"euph fend",10
"1984_9_control_summer",1984,"moll cerv",53
"1984_9_control_summer",1984,"pani ariz",13
"1984_9_control_summer",1984,"pect papp",21
"1984_9_control_summer",1984,"tide lanu",4
"1984_10_removal_summer",1984,"aris adsc",6
"1984_10_removal_summer",1984,"bail mult",18
"1984_10_removal_summer",1984,"bout aris",74
"1984_10_removal_summer",1984,"erio aber",1
"1984_10_removal_summer",1984,"euph fend",3
"1984_10_removal_summer",1984,"moll cerv",30
"1984_10_removal_summer",1984,"moll vert",13
"1984_10_removal_summer",1984,"pani ariz",2
"1984_10_removal_summer",1984,"pect papp",6
"1984_10_removal_summer",1984,"tide lanu",4
"1984_11_control_summer",1984,"bail mult",31
"1984_11_control_summer",1984,"bout aris",59
"1984_11_control_summer",1984,"erio aber",3
"1984_11_control_summer",1984,"euph fend",3
"1984_11_control_summer",1984,"moll cerv",35
"1984_11_control_summer",1984,"pect papp",4
"1984_11_control_summer",1984,"tide lanu",8
"1984_12_control_summer",1984,"bail mult",5
"1984_12_control_summer",1984,"boer torr",10
"1984_12_control_summer",1984,"bout aris",41
"1984_12_control_summer",1984,"erio aber",1
"1984_12_control_summer",1984,"euph fend",1
"1984_12_control_summer",1984,"moll cerv",8
"1984_12_control_summer",1984,"moll vert",2
"1984_12_control_summer",1984,"pani ariz",1
"1984_12_control_summer",1984,"pect papp",22
"1984_12_control_summer",1984,"tide lanu",7
"1984_13_control_summer",1984,"aris adsc",2
"1984_13_control_summer",1984,"bail mult",8
"1984_13_control_summer",1984,"bout aris",11
"1984_13_control_summer",1984,"euph fend",3
"1984_13_control_summer",1984,"moll cerv",20
"1984_13_control_summer",1984,"pani ariz",5
"1984_13_control_summer",1984,"pect papp",7
"1984_14_control_summer",1984,"bail mult",13
"1984_14_control_summer",1984,"erio aber",2
"1984_14_control_summer",1984,"euph fend",2
"1984_14_control_summer",1984,"moll cerv",3
"1984_14_control_summer",1984,"pani ariz",1
"1984_14_control_summer",1984,"tide lanu",2
"1984_15_exclosure_summer",1984,"bail mult",4
"1984_15_exclosure_summer",1984,"euph fend",5
"1984_15_exclosure_summer",1984,"pani ariz",2
"1984_16_removal_summer",1984,"aris adsc",1
"1984_16_removal_summer",1984,"bail mult",18
"1984_16_removal_summer",1984,"bout aris",34
"1984_16_removal_summer",1984,"erio aber",1
"1984_16_removal_summer",1984,"euph fend",1
"1984_16_removal_summer",1984,"moll cerv",3
"1984_16_removal_summer",1984,"moll vert",18
"1984_16_removal_summer",1984,"pani ariz",1
"1984_16_removal_summer",1984,"pect papp",7
"1984_16_removal_summer",1984,"tide lanu",10
"1984_17_control_summer",1984,"bail mult",9
"1984_17_control_summer",1984,"bout aris",5
"1984_17_control_summer",1984,"euph fend",2
"1984_17_control_summer",1984,"pani ariz",2
"1984_17_control_summer",1984,"tide lanu",1
"1984_18_control_summer",1984,"bail mult",18
"1984_18_control_summer",1984,"bout aris",1
"1984_18_control_summer",1984,"euph fend",3
"1984_18_control_summer",1984,"moll cerv",1
"1984_18_control_summer",1984,"pani ariz",21
"1984_19_exclosure_summer",1984,"bail mult",11
"1984_19_exclosure_summer",1984,"boer torr",1
"1984_19_exclosure_summer",1984,"bout aris",12
"1984_19_exclosure_summer",1984,"moll cerv",3
"1984_19_exclosure_summer",1984,"moll vert",1
"1984_19_exclosure_summer",1984,"pect papp",1
"1984_19_exclosure_summer",1984,"tide lanu",4
"1984_20_control_summer",1984,"bail mult",1
"1984_20_control_summer",1984,"boer torr",3
"1984_20_control_summer",1984,"bout aris",1
"1984_20_control_summer",1984,"euph fend",1
"1984_20_control_summer",1984,"moll cerv",5
"1984_20_control_summer",1984,"pani ariz",5
"1984_20_control_summer",1984,"tide lanu",1
"1984_21_exclosure_summer",1984,"aris adsc",4
"1984_21_exclosure_summer",1984,"bail mult",19
"1984_21_exclosure_summer",1984,"boer torr",3
"1984_21_exclosure_summer",1984,"bout aris",47
"1984_21_exclosure_summer",1984,"euph fend",3
"1984_21_exclosure_summer",1984,"moll vert",33
"1984_21_exclosure_summer",1984,"pani ariz",3
"1984_21_exclosure_summer",1984,"tide lanu",2
"1984_22_control_summer",1984,"bout aris",9
"1984_22_control_summer",1984,"erio aber",1
"1984_22_control_summer",1984,"euph fend",1
"1984_22_control_summer",1984,"moll cerv",41
"1984_22_control_summer",1984,"pect papp",1
"1984_23_removal_summer",1984,"aris adsc",2
"1984_23_removal_summer",1984,"bail mult",4
"1984_23_removal_summer",1984,"boer torr",1
"1984_23_removal_summer",1984,"bout aris",91
"1984_23_removal_summer",1984,"moll cerv",1
"1984_23_removal_summer",1984,"pani ariz",1
"1984_23_removal_summer",1984,"tide lanu",1
"1984_1_control_summer",1984,"bail mult",12
"1984_1_control_summer",1984,"erig dive",139
"1984_1_control_summer",1984,"erio aber",87
"1984_1_control_summer",1984,"erod cicu",60
"1984_2_control_summer",1984,"bail mult",11
"1984_2_control_summer",1984,"erig dive",157
"1984_2_control_summer",1984,"erio aber",27
"1984_3_exclosure_summer",1984,"bail mult",28
"1984_3_exclosure_summer",1984,"erig dive",175
"1984_3_exclosure_summer",1984,"erio aber",64
"1984_3_exclosure_summer",1984,"erod cicu",14
"1984_4_control_summer",1984,"bail mult",29
"1984_4_control_summer",1984,"erig dive",25
"1984_4_control_summer",1984,"erio aber",146
"1984_4_control_summer",1984,"hapl grac",7
"1984_6_control_summer",1984,"bail mult",39
"1984_6_control_summer",1984,"erig dive",122
"1984_6_control_summer",1984,"erio aber",101
"1984_6_control_summer",1984,"erod cicu",1
"1984_7_removal_summer",1984,"bail mult",60
"1984_7_removal_summer",1984,"erig dive",10
"1984_7_removal_summer",1984,"erio aber",21
"1984_7_removal_summer",1984,"erod cicu",3369
"1984_7_removal_summer",1984,"hapl grac",37
"1984_8_control_summer",1984,"bail mult",4
"1984_8_control_summer",1984,"erig dive",288
"1984_8_control_summer",1984,"erio aber",50
"1984_9_control_summer",1984,"bail mult",15
"1984_9_control_summer",1984,"erig dive",103
"1984_9_control_summer",1984,"erio aber",34
"1984_10_removal_summer",1984,"bail mult",58
"1984_10_removal_summer",1984,"erig dive",32
"1984_10_removal_summer",1984,"erio aber",66
"1984_10_removal_summer",1984,"erod cicu",119
"1984_10_removal_summer",1984,"hapl grac",57
"1984_11_control_summer",1984,"bail mult",76
"1984_11_control_summer",1984,"erig dive",93
"1984_11_control_summer",1984,"erio aber",36
"1984_11_control_summer",1984,"hapl grac",1
"1984_12_control_summer",1984,"bail mult",43
"1984_12_control_summer",1984,"erig dive",8
"1984_12_control_summer",1984,"erio aber",24
"1984_12_control_summer",1984,"hapl grac",2
"1984_13_control_summer",1984,"bail mult",21
"1984_13_control_summer",1984,"erig dive",109
"1984_13_control_summer",1984,"erio aber",21
"1984_13_control_summer",1984,"erod cicu",3
"1984_14_control_summer",1984,"bail mult",26
"1984_14_control_summer",1984,"erig dive",8
"1984_14_control_summer",1984,"erio aber",39
"1984_15_exclosure_summer",1984,"bail mult",20
"1984_15_exclosure_summer",1984,"erig dive",1
"1984_15_exclosure_summer",1984,"erio aber",18
"1984_16_removal_summer",1984,"bail mult",20
"1984_16_removal_summer",1984,"erig dive",15
"1984_16_removal_summer",1984,"erio aber",23
"1984_16_removal_summer",1984,"erod cicu",691
"1984_16_removal_summer",1984,"hapl grac",33
"1984_17_control_summer",1984,"bail mult",59
"1984_17_control_summer",1984,"erig dive",34
"1984_17_control_summer",1984,"erio aber",73
"1984_18_control_summer",1984,"bail mult",69
"1984_18_control_summer",1984,"erig dive",22
"1984_18_control_summer",1984,"erio aber",17
"1984_18_control_summer",1984,"erod cicu",5
"1984_19_exclosure_summer",1984,"bail mult",40
"1984_19_exclosure_summer",1984,"erig dive",2
"1984_19_exclosure_summer",1984,"erio aber",3
"1984_19_exclosure_summer",1984,"erod cicu",430
"1984_19_exclosure_summer",1984,"hapl grac",6
"1984_20_control_summer",1984,"bail mult",11
"1984_20_control_summer",1984,"erig dive",25
"1984_20_control_summer",1984,"erio aber",15
"1984_20_control_summer",1984,"erod cicu",1
"1984_21_exclosure_summer",1984,"bail mult",68
"1984_21_exclosure_summer",1984,"erig dive",24
"1984_21_exclosure_summer",1984,"erio aber",46
"1984_21_exclosure_summer",1984,"erod cicu",14
"1984_21_exclosure_summer",1984,"hapl grac",256
"1984_22_control_summer",1984,"bail mult",13
"1984_22_control_summer",1984,"erig dive",106
"1984_22_control_summer",1984,"erio aber",16
"1984_23_removal_summer",1984,"bail mult",56
"1984_23_removal_summer",1984,"erig dive",15
"1984_23_removal_summer",1984,"erio aber",80
"1984_23_removal_summer",1984,"erod cicu",1
"1984_23_removal_summer",1984,"hapl grac",5
"1985_3_exclosure_summer",1985,"aris adsc",1
"1985_3_exclosure_summer",1985,"bail mult",32
"1985_3_exclosure_summer",1985,"bout aris",19
"1985_3_exclosure_summer",1985,"erio aber",24
"1985_3_exclosure_summer",1985,"euph fend",2
"1985_3_exclosure_summer",1985,"moll cerv",49
"1985_3_exclosure_summer",1985,"moll vert",9
"1985_3_exclosure_summer",1985,"tide lanu",4
"1985_4_control_summer",1985,"bail mult",70
"1985_4_control_summer",1985,"bout aris",27
"1985_4_control_summer",1985,"erio aber",33
"1985_4_control_summer",1985,"euph fend",1
"1985_4_control_summer",1985,"moll vert",15
"1985_4_control_summer",1985,"pani ariz",1
"1985_4_control_summer",1985,"pect papp",1
"1985_4_control_summer",1985,"tide lanu",2
"1985_6_control_summer",1985,"bail mult",40
"1985_6_control_summer",1985,"bout aris",6
"1985_6_control_summer",1985,"erio aber",16
"1985_6_control_summer",1985,"euph fend",6
"1985_6_control_summer",1985,"moll cerv",13
"1985_6_control_summer",1985,"moll vert",3
"1985_6_control_summer",1985,"tide lanu",1
"1985_7_removal_summer",1985,"aris adsc",1
"1985_7_removal_summer",1985,"bail mult",2
"1985_7_removal_summer",1985,"bout aris",14
"1985_7_removal_summer",1985,"erio aber",3
"1985_7_removal_summer",1985,"euph fend",1
"1985_7_removal_summer",1985,"moll cerv",4
"1985_7_removal_summer",1985,"moll vert",10
"1985_7_removal_summer",1985,"pani ariz",1
"1985_7_removal_summer",1985,"pect papp",1
"1985_7_removal_summer",1985,"tide lanu",3
"1985_8_control_summer",1985,"bail mult",23
"1985_8_control_summer",1985,"boer torr",6
"1985_8_control_summer",1985,"bout aris",51
"1985_8_control_summer",1985,"erio aber",35
"1985_8_control_summer",1985,"euph fend",5
"1985_8_control_summer",1985,"moll cerv",42
"1985_8_control_summer",1985,"moll vert",11
"1985_8_control_summer",1985,"pani ariz",1
"1985_8_control_summer",1985,"pect papp",4
"1985_8_control_summer",1985,"tide lanu",16
"1985_9_control_summer",1985,"boer torr",2
"1985_9_control_summer",1985,"bout aris",31
"1985_9_control_summer",1985,"euph fend",13
"1985_9_control_summer",1985,"moll cerv",97
"1985_9_control_summer",1985,"moll vert",1
"1985_9_control_summer",1985,"pani ariz",3
"1985_9_control_summer",1985,"pect papp",8
"1985_9_control_summer",1985,"tide lanu",2
"1985_10_removal_summer",1985,"aris adsc",1
"1985_10_removal_summer",1985,"bail mult",3
"1985_10_removal_summer",1985,"boer torr",5
"1985_10_removal_summer",1985,"bout aris",38
"1985_10_removal_summer",1985,"erio aber",1
"1985_10_removal_summer",1985,"moll cerv",33
"1985_10_removal_summer",1985,"moll vert",107
"1985_10_removal_summer",1985,"pani ariz",3
"1985_10_removal_summer",1985,"pect papp",5
"1985_10_removal_summer",1985,"tide lanu",5
"1985_11_control_summer",1985,"bail mult",28
"1985_11_control_summer",1985,"boer torr",2
"1985_11_control_summer",1985,"bout aris",11
"1985_11_control_summer",1985,"erio aber",12
"1985_11_control_summer",1985,"euph fend",1
"1985_11_control_summer",1985,"moll cerv",15
"1985_11_control_summer",1985,"moll vert",53
"1985_11_control_summer",1985,"pect papp",6
"1985_11_control_summer",1985,"tide lanu",1
"1985_12_control_summer",1985,"aris adsc",1
"1985_12_control_summer",1985,"bail mult",9
"1985_12_control_summer",1985,"boer torr",5
"1985_12_control_summer",1985,"bout aris",12
"1985_12_control_summer",1985,"erio aber",5
"1985_12_control_summer",1985,"euph fend",4
"1985_12_control_summer",1985,"moll cerv",9
"1985_12_control_summer",1985,"pect papp",6
"1985_12_control_summer",1985,"tide lanu",4
"1985_13_control_summer",1985,"bail mult",1
"1985_13_control_summer",1985,"bout aris",18
"1985_13_control_summer",1985,"erio aber",6
"1985_13_control_summer",1985,"euph fend",8
"1985_13_control_summer",1985,"moll cerv",9
"1985_13_control_summer",1985,"moll vert",3
"1985_13_control_summer",1985,"pect papp",1
"1985_14_control_summer",1985,"boer torr",1
"1985_14_control_summer",1985,"bout aris",2
"1985_14_control_summer",1985,"erio aber",2
"1985_14_control_summer",1985,"euph fend",2
"1985_15_exclosure_summer",1985,"bout aris",2
"1985_15_exclosure_summer",1985,"erio aber",2
"1985_15_exclosure_summer",1985,"euph fend",7
"1985_15_exclosure_summer",1985,"moll cerv",1
"1985_15_exclosure_summer",1985,"pani ariz",1
"1985_16_removal_summer",1985,"aris adsc",2
"1985_16_removal_summer",1985,"bail mult",3
"1985_16_removal_summer",1985,"boer torr",1
"1985_16_removal_summer",1985,"bout aris",45
"1985_16_removal_summer",1985,"erio aber",8
"1985_16_removal_summer",1985,"euph fend",2
"1985_16_removal_summer",1985,"moll cerv",10
"1985_16_removal_summer",1985,"moll vert",2
"1985_16_removal_summer",1985,"pani ariz",1
"1985_16_removal_summer",1985,"pect papp",3
"1985_16_removal_summer",1985,"tide lanu",4
"1985_17_control_summer",1985,"bail mult",2
"1985_17_control_summer",1985,"boer torr",2
"1985_17_control_summer",1985,"bout aris",13
"1985_17_control_summer",1985,"erio aber",3
"1985_17_control_summer",1985,"euph fend",5
"1985_17_control_summer",1985,"moll cerv",2
